project_id,source_id,subject_type,subject_id,subject_name,sector_id,claim_supported,source_type,source_title,source_date,url_or_path,confidence,evidence_ids,extracted_fields,notes,access_status,retrieved_date
tech_ai_semiconductor,BAO-DAILY-HSOM-20260619,sector,cpo_optical_module_silicon_photonics,光模块/CPO/硅光,cpo_optical_module_silicon_photonics,BaoStock 日线行情数据采集 (8家高速光模块公司),market_data,BaoStock 日线行情数据采集 (8家高速光模块公司),2026-06-19,investment_system/data/raw/baostock/daily_kline/2026-06-19/,高,"EV-HSOM-COMPANY-300308-001,EV-HSOM-COMPANY-300502-001,EV-HSOM-COMPANY-300394-001,EV-HSOM-COMPANY-603083-001,EV-HSOM-COMPANY-002281-001",dry_run,DRY_RUN_ONLY_NOT_FOR_INVESTMENT,,
tech_ai_semiconductor,TENCENT-DAILY-HSOM-20260619,sector,cpo_optical_module_silicon_photonics,光模块/CPO/硅光,cpo_optical_module_silicon_photonics,腾讯财经直连 HTTP 行情数据 (web.ifzq.gtimg.cn),market_data,腾讯财经直连 HTTP 行情数据 (web.ifzq.gtimg.cn),2026-06-19,investment_system/data/raw/baostock/daily_kline/2026-06-19/,高,"EV-HSOM-COMPANY-300308-001,EV-HSOM-COMPANY-300502-001,EV-HSOM-COMPANY-300394-001,EV-HSOM-COMPANY-603083-001,EV-HSOM-COMPANY-002281-001",dry_run,DRY_RUN_ONLY_NOT_FOR_INVESTMENT,,
tech_ai_semiconductor,BAO-PROFIT-HSOM-20260619,sector,cpo_optical_module_silicon_photonics,光模块/CPO/硅光,cpo_optical_module_silicon_photonics,BaoStock 利润表财务数据采集 (8家高速光模块公司),financial_data,BaoStock 利润表财务数据采集 (8家高速光模块公司),2026-06-19,investment_system/data/raw/baostock/profit/2026-06-19/,高,"EV-HSOM-COMPANY-300308-001,EV-HSOM-COMPANY-300502-001,EV-HSOM-COMPANY-300394-001,EV-HSOM-COMPANY-603083-001,EV-HSOM-COMPANY-002281-001",dry_run,DRY_RUN_ONLY_NOT_FOR_INVESTMENT,,
tech_ai_semiconductor,BAO-STOCK-300308-20260619,sector,cpo_optical_module_silicon_photonics,光模块/CPO/硅光,cpo_optical_module_silicon_photonics,BaoStock 中际旭创 财务+行情数据,financial_data,BaoStock 中际旭创 财务+行情数据,2026-06-19,investment_system/data/raw/baostock/,高,"EV-HSOM-COMPANY-300308-001,EV-HSOM-COMPANY-300502-001,EV-HSOM-COMPANY-300394-001,EV-HSOM-COMPANY-603083-001,EV-HSOM-COMPANY-002281-001",dry_run,DRY_RUN_ONLY_NOT_FOR_INVESTMENT,,
tech_ai_semiconductor,BAO-STOCK-300502-20260619,sector,cpo_optical_module_silicon_photonics,光模块/CPO/硅光,cpo_optical_module_silicon_photonics,BaoStock 新易盛 财务+行情数据,financial_data,BaoStock 新易盛 财务+行情数据,2026-06-19,investment_system/data/raw/baostock/,高,"EV-HSOM-COMPANY-300308-001,EV-HSOM-COMPANY-300502-001,EV-HSOM-COMPANY-300394-001,EV-HSOM-COMPANY-603083-001,EV-HSOM-COMPANY-002281-001",dry_run,DRY_RUN_ONLY_NOT_FOR_INVESTMENT,,
tech_ai_semiconductor,BAO-STOCK-300394-20260619,sector,cpo_optical_module_silicon_photonics,光模块/CPO/硅光,cpo_optical_module_silicon_photonics,BaoStock 天孚通信 财务+行情数据,financial_data,BaoStock 天孚通信 财务+行情数据,2026-06-19,investment_system/data/raw/baostock/,高,"EV-HSOM-COMPANY-300308-001,EV-HSOM-COMPANY-300502-001,EV-HSOM-COMPANY-300394-001,EV-HSOM-COMPANY-603083-001,EV-HSOM-COMPANY-002281-001",dry_run,DRY_RUN_ONLY_NOT_FOR_INVESTMENT,,
tech_ai_semiconductor,BAO-STOCK-603083-20260619,sector,cpo_optical_module_silicon_photonics,光模块/CPO/硅光,cpo_optical_module_silicon_photonics,BaoStock 剑桥科技 财务+行情数据,financial_data,BaoStock 剑桥科技 财务+行情数据,2026-06-19,investment_system/data/raw/baostock/,高,"EV-HSOM-COMPANY-300308-001,EV-HSOM-COMPANY-300502-001,EV-HSOM-COMPANY-300394-001,EV-HSOM-COMPANY-603083-001,EV-HSOM-COMPANY-002281-001",dry_run,DRY_RUN_ONLY_NOT_FOR_INVESTMENT,,
tech_ai_semiconductor,BAO-STOCK-002281-20260619,sector,cpo_optical_module_silicon_photonics,光模块/CPO/硅光,cpo_optical_module_silicon_photonics,BaoStock 光迅科技 财务+行情数据,financial_data,BaoStock 光迅科技 财务+行情数据,2026-06-19,investment_system/data/raw/baostock/,高,"EV-HSOM-COMPANY-300308-001,EV-HSOM-COMPANY-300502-001,EV-HSOM-COMPANY-300394-001,EV-HSOM-COMPANY-603083-001,EV-HSOM-COMPANY-002281-001",dry_run,DRY_RUN_ONLY_NOT_FOR_INVESTMENT,,
tech_ai_semiconductor,BAO-STOCK-000988-20260619,sector,cpo_optical_module_silicon_photonics,光模块/CPO/硅光,cpo_optical_module_silicon_photonics,BaoStock 华工科技 财务+行情数据,financial_data,BaoStock 华工科技 财务+行情数据,2026-06-19,investment_system/data/raw/baostock/,高,"EV-HSOM-COMPANY-300308-001,EV-HSOM-COMPANY-300502-001,EV-HSOM-COMPANY-300394-001,EV-HSOM-COMPANY-603083-001,EV-HSOM-COMPANY-002281-001",dry_run,DRY_RUN_ONLY_NOT_FOR_INVESTMENT,,
tech_ai_semiconductor,BAO-STOCK-300570-20260619,sector,cpo_optical_module_silicon_photonics,光模块/CPO/硅光,cpo_optical_module_silicon_photonics,BaoStock 太辰光 财务+行情数据,financial_data,BaoStock 太辰光 财务+行情数据,2026-06-19,investment_system/data/raw/baostock/,高,"EV-HSOM-COMPANY-300308-001,EV-HSOM-COMPANY-300502-001,EV-HSOM-COMPANY-300394-001,EV-HSOM-COMPANY-603083-001,EV-HSOM-COMPANY-002281-001",dry_run,DRY_RUN_ONLY_NOT_FOR_INVESTMENT,,
