project_id,source_id,subject_type,subject_id,subject_name,sector_id,claim_supported,source_type,source_title,source_date,url_or_path,confidence,evidence_ids,extracted_fields,notes,access_status,retrieved_date
tech_ai_semiconductor,BAO-DAILY-TRADING-OPTICAL-20260620,sector,optical_chip_components,光芯片/激光器/光器件,optical_chip_components,Formal candidate evidence linkage for optical_chip_components,database,BaoStock 日线行情缓存 - 光通信链 trading_heat,2026-06-20,investment_system/data/raw/baostock/daily_kline/2026-06-20/,高,"EV-TH-OCFP-300394-20260620,EV-TH-OCFP-300570-20260620,EV-TH-OCFP-688195-20260620,EV-TH-OCFP-300620-20260620,EV-TH-OCFP-688025-20260620,EV-TH-OCFP-688127-20260620",structured_evidence,FORMAL_CANDIDATE_REVIEW_ONLY; source copied from active evidence YAML,,
tech_ai_semiconductor,CNINFO-AR-300394-20260407,company,300394.SZ,天孚通信,optical_chip_components,Formal candidate evidence linkage for optical_chip_components,annual_report,天孚通信 2025年年度报告,2026-04-07,investment_system/data/raw/evidence/2026-06-20/cninfo/300394_天孚通信_2025_annual.pdf,高,EV-OCFP-COMPANY-300394-001,structured_evidence,FORMAL_CANDIDATE_REVIEW_ONLY; source copied from active evidence YAML,,
tech_ai_semiconductor,CNINFO-AR-300570-20260330,company,300570.SZ,太辰光,optical_chip_components,Formal candidate evidence linkage for optical_chip_components,annual_report,太辰光 2025年年度报告,2026-03-30,investment_system/data/raw/evidence/2026-06-20/cninfo/300570_太辰光_2025_annual.pdf,高,EV-OCFP-COMPANY-300570-001,structured_evidence,FORMAL_CANDIDATE_REVIEW_ONLY; source copied from active evidence YAML,,
tech_ai_semiconductor,CNINFO-AR-300620-20260323,company,300620.SZ,光库科技,optical_chip_components,Formal candidate evidence linkage for optical_chip_components,annual_report,光库科技 2025年年度报告,2026-03-23,investment_system/data/raw/evidence/2026-06-20/cninfo/300620_光库科技_2025_annual.pdf,高,EV-OCFP-COMPANY-300620-001,structured_evidence,FORMAL_CANDIDATE_REVIEW_ONLY; source copied from active evidence YAML,,
tech_ai_semiconductor,CNINFO-AR-688025-20260327,company,688025.SH,杰普特,optical_chip_components,Formal candidate evidence linkage for optical_chip_components,annual_report,杰普特 2025年年度报告,2026-03-27,investment_system/data/raw/evidence/2026-06-20/cninfo/688025_杰普特_2025_annual.pdf,高,EV-OCFP-COMPANY-688025-001,structured_evidence,FORMAL_CANDIDATE_REVIEW_ONLY; source copied from active evidence YAML,,
tech_ai_semiconductor,CNINFO-AR-688127-20260316,company,688127.SH,蓝特光学,optical_chip_components,Formal candidate evidence linkage for optical_chip_components,annual_report,蓝特光学 2025年年度报告,2026-03-16,investment_system/data/raw/evidence/2026-06-20/cninfo/688127_蓝特光学_2025_annual.pdf,中高,EV-OCFP-COMPANY-688127-001,structured_evidence,FORMAL_CANDIDATE_REVIEW_ONLY; source copied from active evidence YAML,,
tech_ai_semiconductor,CNINFO-AR-688195-20260424,company,688195.SH,腾景科技,optical_chip_components,Formal candidate evidence linkage for optical_chip_components,annual_report,腾景科技 2025年年度报告,2026-04-24,investment_system/data/raw/evidence/2026-06-20/cninfo/688195_腾景科技_2025_annual.pdf,高,EV-OCFP-COMPANY-688195-001,structured_evidence,FORMAL_CANDIDATE_REVIEW_ONLY; source copied from active evidence YAML,,
tech_ai_semiconductor,OCFP-BUNDLE-300394-20260407,company,300394.SZ,天孚通信,optical_chip_components,Formal candidate evidence linkage for optical_chip_components,other,天孚通信 legacy company evidence bundle,2026-04-07,investment_system/research/evidence/optical_components_fau_precision_optics.yaml,中高,EV-OCFP-COMPANY-300394-001,structured_evidence,FORMAL_CANDIDATE_REVIEW_ONLY; source copied from active evidence YAML,,
tech_ai_semiconductor,OCFP-BUNDLE-300570-20260330,company,300570.SZ,太辰光,optical_chip_components,Formal candidate evidence linkage for optical_chip_components,other,太辰光 legacy company evidence bundle,2026-03-30,investment_system/research/evidence/optical_components_fau_precision_optics.yaml,中高,EV-OCFP-COMPANY-300570-001,structured_evidence,FORMAL_CANDIDATE_REVIEW_ONLY; source copied from active evidence YAML,,
tech_ai_semiconductor,OCFP-BUNDLE-300620-20260323,company,300620.SZ,光库科技,optical_chip_components,Formal candidate evidence linkage for optical_chip_components,other,光库科技 legacy company evidence bundle,2026-03-23,investment_system/research/evidence/optical_components_fau_precision_optics.yaml,中高,EV-OCFP-COMPANY-300620-001,structured_evidence,FORMAL_CANDIDATE_REVIEW_ONLY; source copied from active evidence YAML,,
